Character,Movies,Year
Agent Coulson,Avengers,2012
Agent Coulson,Iron Man ,2008
Agent Coulson,Iron Man 2,2010
Agent Coulson,Thor,2011
Agent Coulson,Captain Marvel,2019
Ant-Man,Ant-Man and the Wasp,2018
Ant-Man,Avengers: Endgame,2019
Ant-Man,Captain America: Civil War,2016
Ant-Man,Ant-Man,2015
Betty Ross,The Incredible Hulk,2008
Black Widow,Avengers,2012
Black Widow,Avengers: Age of Ultron,2015
Black Widow,Avengers: Endgame,2019
Black Widow,Avengers: Infinity War,2018
Black Widow,Captain America: Civil War,2016
Black Widow,Captain America: The Winter Soldier,2014
Black Widow,Iron Man 2,2010
Captain America,Avengers,2012
Captain America,Avengers: Age of Ultron,2015
Captain America,Avengers: Endgame,2019
Captain America,Avengers: Infinity War,2018
Captain America,Captain America: Civil War,2016
Captain America,Captain America: The First Avenger,2011
Captain America,Captain America: The Winter Soldier,2014
Captain America,Spider-Man: Homecoming,2017
Captain America,Thor: The Dark World,2013
Captain Marvel,Avengers: Endgame,2019
Captain Marvel,Avengers: Infinity War,2018
Captain Marvel,Captain Marvel,2019
Dr. Hank Pym,Ant-Man,2015
Dr. Hank Pym,Ant-Man and the Wasp,2018
Drax,Avengers: Endgame,2019
Drax,Avengers: Infinity War,2018
Drax,Guardians of the Galaxy,2014
Drax,Guardians of the Galaxy: Vol. 2,2017
Emil Blonsky,The Incredible Hulk,2008
Erik Killmonger,Black Panther,2018
Falcon,Ant-Man,2015
Falcon,Avengers: Age of Ultron,2015
Falcon,Avengers: Endgame,2019
Falcon,Avengers: Infinity War,2018
Falcon,Captain America: Civil War,2016
Falcon,Captain America: The Winter Soldier,2014
Gamora,Avengers: Endgame,2019
Gamora,Avengers: Infinity War,2018
Gamora,Guardians of the Galaxy,2014
Gamora,Guardians of the Galaxy: Vol. 2,2017
Groot,Avengers: Endgame,2019
Groot,Avengers: Infinity War,2018
Groot,Guardians of the Galaxy,2014
Groot,Guardians of the Galaxy: Vol. 2,2017
Hawkeye,Avengers,2012
Hawkeye,Avengers: Age of Ultron,2015
Hawkeye,Avengers: Endgame,2019
Hawkeye,Captain America: Civil War,2016
Hawkeye,Thor,2011
Heimdall,Avengers: Age of Ultron,2015
Heimdall,Avengers: Infinity War,2018
