hero,Iron Man,The Incredible Hulk,Iron Man 2,Thor,Captain America: The First Avenger,Avengers,Iron Man 3,Thor: The Dark World,Captain America: The Winter Soldier,Guardians of the Galaxy,Avengers: Age of Ultron,Ant-Man,Captain America: Civil War,Doctor Strange,Guardians of the Galaxy: Vol. 2,Spider-Man: Homecoming,Thor: Ragnarok,Black Panther,Avengers: Infinity War,Ant-Man and the Wasp,Captain Marvel,Avengers: Endgame,Spider-Man: Far from Home,total_screen_time,Movies,freq,cat
Agent Coulson,225,0,120,240,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,1290,5,1,0
Ant-Man,0,0,0,0,0,0,0,0,0,0,0,3030,330,0,0,0,0,0,0,2550,0,795,0,6705,4,1,1
Betty Ross,0,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1620,1,1,0
Black Panther,0,0,0,0,0,0,0,0,0,0,0,0,690,0,0,0,0,2880,210,0,0,105,0,3885,,,
Black Widow,0,0,555,0,0,1485,0,0,1485,0,1080,0,720,0,0,0,15,0,300,0,30,960,0,6630,9,1,1
Captain America,0,0,0,0,3390,1695,0,0,3540,0,1305,15,2295,0,0,60,0,0,435,0,30,1845,0,14610,,,
Captain Marvel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3900,360,0,4260,,,
Doctor Strange,0,0,0,0,0,0,0,0,0,0,0,0,0,4410,0,0,180,0,675,0,0,75,0,5340,,,
Dr. Hank Pym,0,0,0,0,0,0,0,0,0,0,0,1485,0,0,0,0,0,0,0,1425,0,30,0,2940,3,1,1
Drax,0,0,0,0,0,0,0,0,0,1080,0,0,0,0,990,0,0,0,345,0,0,60,0,2475,4,1,1
Emil Blonsky,0,1110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110,1,1,0
Erik Kilmonger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1335,0,0,0,0,0,1335,1,3,0
Falcon,0,0,0,0,0,0,0,0,855,0,45,165,615,0,0,0,0,0,165,0,0,270,0,2115,6,1,0
Gamora,0,0,0,0,0,0,0,0,0,1860,0,0,0,0,1440,0,0,0,1200,0,0,285,0,4785,4,1,1
Groot,0,0,0,0,0,0,0,0,0,930,0,0,0,0,840,0,0,0,240,0,0,60,0,2070,,,
Hawkeye,0,0,0,30,0,765,0,0,0,0,900,0,255,0,0,0,0,0,0,0,0,1080,0,3030,,,
Heimdall,0,0,0,255,0,0,0,255,0,0,30,0,0,0,0,0,270,0,45,0,0,0,0,855,5,1,0
Hela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750,0,0,0,0,0,0,750,1,2,0
Hulk,0,3105,0,0,0,1305,45,0,0,0,1200,0,0,0,0,0,1035,0,570,0,15,1200,0,8475,,,
Iron Man,4635,30,3675,0,0,1905,3735,0,0,0,1635,0,2235,0,0,480,0,0,1020,0,0,2085,30,21465,11,1,1
Iron Monger,1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1320,1,1,0
Ivan Vanko,0,0,1245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1245,1,2,0
Jane Foster,0,0,0,1260,0,0,0,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,2775,3,1,1
